c;S;X;T;vol;rf
60.4;2012.74;2000;0.194520548;0.000655952;0.05
11.9;2012.74;2100;0.194520548;0.000485317;0.05
57.4;2012.74;2005;0.194520548;0.000649603;0.05
73.4;2012.74;1980;0.194520548;0.000684921;0.05
24;2012.74;2070;0.194520548;0.000554762;0.05
59.55;2014.54;2000;0.191780822;0.000639286;0.05
56.35;2014.54;2005;0.191780822;0.000631349;0.05
53.45;2014.54;2010;0.191780822;0.000625794;0.05
44.75;2014.54;2025;0.191780822;0.000604365;0.05
1.375;2014.54;2180;0.191780822;0.00041627;0.05
6.95;2014.54;2125;0.191780822;0.000465873;0.05
1.625;2014.54;2175;0.191780822;0.000421825;0.05
4.25;2030.57;2150;0.191780822;0.000395635;0.05
14.95;2030.57;2100;0.191780822;0.000462698;0.05
13.2;2019.02;2100;0.189041096;0.000419048;0.05
3.8;2019.02;2150;0.189041096;0.000396032;0.05
22.5;2050.29;2100;0.18630137;0.00041627;0.05
54.45;2016.16;2005;0.183561644;0.000582143;0.05
57.65;2016.16;2000;0.183561644;0.000589286;0.05
30.6;2075.91;2100;0.183561644;0.000382143;0.05
51.6;2016.16;2010;0.183561644;0.000578175;0.05
52.25;2003.02;2000;0.180821918;0.000584524;0.05
9.55;2003.02;2100;0.180821918;0.000463889;0.05
46.25;2003.02;2010;0.180821918;0.000571032;0.05
49.25;2003.02;2005;0.180821918;0.000578175;0.05
7.4;2003.02;2110;0.180821918;0.000453175;0.05
26.3;2003.02;2050;0.180821918;0.000525;0.05
45.6;1992.73;2000;0.178082192;0.000597619;0.05
7.6;1992.73;2100;0.178082192;0.000476984;0.05
51.3;1992.73;1990;0.178082192;0.000609524;0.05
48.45;1992.73;1995;0.178082192;0.000603968;0.05
54.35;1992.73;1985;0.178082192;0.00061627;0.05
61;2023.25;2000;0.175342466;0.000595238;0.05
45.4;2023.25;2025;0.175342466;0.000561508;0.05
64.35;2023.25;1995;0.175342466;0.000601984;0.05
51.55;2023.25;2015;0.175342466;0.000576587;0.05
11.8;2023.25;2100;0.175342466;0.000455952;0.05
57.75;2023.25;2005;0.175342466;0.000588492;0.05
54.65;2023.25;2010;0.175342466;0.000582937;0.05
48.95;2031.6;2025;0.17260274;0.000584127;0.05
51.95;2031.6;2020;0.17260274;0.000590476;0.05
13.1;2031.6;2100;0.17260274;0.000465873;0.05
55.1;2031.6;2015;0.17260274;0.000598016;0.05
65.15;2031.6;2000;0.17260274;0.000622222;0.05
0.975;2014.54;2180;0.169863014;0.000414683;0.05
1.025;2089.99;2250;0.167123288;0.000396429;0.05
2.6;2075.91;2195;0.167123288;0.000386905;0.05
49.1;2031.38;2020;0.164383562;0.000569444;0.05
46;2031.38;2025;0.164383562;0.000561905;0.05
2.275;2031.38;2150;0.164383562;0.000386508;0.05
0.55;2031.38;2200;0.164383562;0.000387698;0.05
2.9;2084.58;2200;0.164383562;0.000265873;0.05
11.25;2031.38;2100;0.164383562;0.000447222;0.05
62.4;2031.38;2000;0.164383562;0.000602381;0.05
52.35;2031.38;2015;0.164383562;0.000578175;0.05
48.35;2030.57;2020;0.161643836;0.000569444;0.05
2.625;2030.57;2150;0.161643836;0.000403571;0.05
45.25;2030.57;2025;0.161643836;0.000561508;0.05
61.45;2030.57;2000;0.161643836;0.000600397;0.05
10.2;1987.89;2085;0.161643836;0.000559127;0.05
42.35;2030.57;2030;0.161643836;0.000555159;0.05
12.6;1987.89;2075;0.161643836;0.000478968;0.05
40.15;2019.02;2025;0.15890411;0.000572222;0.05
0.425;2019.02;2225;0.15890411;0.000421429;0.05
27.25;2019.02;2050;0.15890411;0.000538492;0.05
45.9;2019.02;2015;0.15890411;0.000586111;0.05
55.15;2019.02;2000;0.15890411;0.00060754;0.05
43;2019.02;2020;0.15890411;0.000579365;0.05
1.15;2019.02;2175;0.15890411;0.000418651;0.05
9.75;2019.02;2100;0.15890411;0.000471429;0.05
3.125;2019.02;2140;0.15890411;0.000429762;0.05
59.7;2050.29;2025;0.156164384;0.000618254;0.05
29.3;2050.29;2075;0.156164384;0.000530952;0.05
24.4;2050.29;2085;0.156164384;0.000511111;0.05
49.75;2050.29;2040;0.156164384;0.000591667;0.05
46.5;2050.29;2045;0.156164384;0.000581746;0.05
52.8;2050.29;2035;0.156164384;0.000598016;0.05
18.1;2050.29;2100;0.156164384;0.000488095;0.05
43.45;2050.29;2050;0.156164384;0.000573413;0.05
5.4;2050.29;2145;0.156164384;0.000421825;0.05
55.1;2075.91;2050;0.153424658;0.000554365;0.05
45.3;2075.91;2065;0.153424658;0.000530952;0.05
48.5;2075.91;2060;0.153424658;0.000538889;0.05
39.2;2075.91;2075;0.153424658;0.000515476;0.05
25.8;2075.91;2100;0.153424658;0.00048254;0.05
42.2;2075.91;2070;0.153424658;0.000523016;0.05
21.3;2075.91;2110;0.153424658;0.000465476;0.05
8.05;2075.91;2150;0.153424658;0.000414286;0.05
15.3;2075.91;2125;0.153424658;0.000443651;0.05
6;2075.91;2160;0.153424658;0.000405159;0.05
33.55;2075.91;2085;0.153424658;0.000501984;0.05
0.325;2075.91;2300;0.153424658;0.000436508;0.05
2.375;2023.25;2145;0.153424658;0.000454365;0.05
72.75;2075.91;2025;0.153424658;0.000592063;0.05
18.35;1987.89;2050;0.150684932;0.000541667;0.05
42.75;2071.16;2065;0.145205479;0.000517063;0.05
52.35;2071.16;2050;0.145205479;0.000538889;0.05
45.85;2071.16;2060;0.145205479;0.000524206;0.05
23.95;2071.16;2100;0.145205479;0.000472619;0.05
6.4;2031.38;2110;0.142465753;0.000396429;0.05
23.3;2031.38;2060;0.142465753;0.000575397;0.05
49.95;2064.45;2050;0.142465753;0.000534524;0.05
